Title,Genre,Premiere,Runtime,IMDB Score,Language,Main Genre
Enter the Anime,documentary,2019-08-05,58,2.5,English/Japanese,Documentary
Dark Forces,thriller,2020-08-21,81,2.6,Spanish,Thrillers
The App,sci-fi drama,2019-12-26,79,2.6,Italian,Sci-Fi
The Open House,horror thriller,2018-01-19,94,3.2,English,Horror & Mystery
Kaali Khuhi,mystery,2020-10-30,90,3.4,Hindi,Horror & Mystery
Drive,action,2019-11-01,147,3.5,Hindi,Action & Adventure
Leyla Everlasting,comedy,2020-12-04,112,3.7,Turkish,Comedies
The Last Days of American Crime,crime thriller,2020-06-05,149,3.7,English,Thrillers
Paradox,action western,2018-03-23,73,3.9,English,Action & Adventure
Sardar Ka Grandson,comedy,2021-05-18,139,4.1,Hindi,Comedies
Searching for Sheela,documentary,2021-04-22,58,4.1,English,Documentary
The Call,drama,2020-11-27,112,4.1,Korean,Dramas
Whipped,romantic comedy,2020-09-18,97,4.1,Indonesian,Romance
All Because of You,action comedy,2020-10-01,101,4.2,Malay,Action & Adventure
Mercy,thriller,2016-11-22,90,4.2,English,Thrillers
After the Raid,documentary,2019-12-19,25,4.3,Spanish,Shorts
Ghost Stories,horror anthology,2020-01-01,144,4.3,Hindi,Horror & Mystery
The Last Thing He Wanted,political thriller,2020-02-21,115,4.3,English,Thrillers
What Happened to Mr. Cha?,comedy,2021-01-01,102,4.3,Korean,Comedies
Death Note,horror thriller,2017-08-25,100,4.4,English,Horror & Mystery
"Hello Privilege. It's Me, Chelsea",documentary,2019-09-13,64,4.4,English,Documentary
Secret Obsession,thriller,2019-07-18,97,4.4,English,Thrillers
Sextuplets,comedy,2019-08-16,99,4.4,English,Comedies
The Girl on the Train,thriller,2021-02-26,120,4.4,Hindi,Thrillers
Thunder Force,action comedy,2021-04-09,105,4.4,English,Action & Adventure
Fatal Affair,thriller,2020-07-16,89,4.5,English,Thrillers
Just Say Yes,romantic comedy,2021-04-02,97,4.5,Dutch,Romance
Seriously Single,comedy,2020-07-31,107,4.5,English,Comedies
The Misadventures of Hedi and Cokeman,comedy,2021-02-10,99,4.5,French,Comedies
5 Star Christmas,comedy,2018-12-07,95,4.6,Italian,Comedies
After Maria,documentary,2019-05-24,37,4.6,English/Spanish,Shorts
I Am the Pretty Thing That Lives in the House,horror,2016-10-28,89,4.6,English,Horror & Mystery
Paris Is Us,romantic drama,2019-02-22,83,4.6,French,Romance
Porta dos Fundos: The First Temptation of Christ,comedy,2019-12-03,46,4.6,Portuguese,Comedies
Rattlesnake,horror,2019-10-25,85,4.6,English,Horror & Mystery
The Players,comedy,2020-07-15,88,4.6,Italian,Comedies
We Are One,documentary,2020-07-14,86,4.6,French,Documentary
Finding Agnes,drama,2020-11-30,105,4.7,Filipino,Dramas
IO,sci-fi drama,2019-01-18,95,4.7,English,Sci-Fi
Sentinelle,action,2021-03-05,80,4.7,French,Action & Adventure
Sol Levante,anime short,2020-04-02,4,4.7,English,Shorts
The Binding,drama,2020-10-02,93,4.7,Italian,Dramas
We Can Be Heroes,action comedy,2020-12-25,100,4.7,English,Action & Adventure
Christmas Crossfire,thriller,2020-12-04,106,4.8,German,Thrillers
Coin Heist,crime thriller,2017-01-06,97,4.8,English,Thrillers
Mrs. Serial Killer,thriller,2020-05-01,106,4.8,Hindi,Thrillers
Nobody Sleeps in the Woods Tonight,horror,2020-10-28,103,4.8,Polish,Horror & Mystery
Take the 10,comedy,2017-01-20,80,4.8,English,Comedies
The Main Event,comedy,2020-04-10,101,4.8,English,Comedies
The Ridiculous 6,action western,2015-12-11,119,4.8,English,Action & Adventure
Earth and Blood,action,2020-04-17,80,4.9,French,Action & Adventure
Fearless,documentary,2020-08-14,89,4.9,English,Documentary
Holiday Rush,christmas comedy,2019-11-28,94,4.9,English,Christmas
The Day of the Lord,drama,2020-10-30,93,4.9,Spanish,Dramas
Airplane Mode,comedy,2020-01-23,96,5.0,Portuguese,Comedies
How It Ends,action thriller,2018-07-13,113,5.0,English,Action & Adventure
Love Like the Falling Rain,drama,2020-10-15,86,5.0,Indonesian,Dramas
Rebirth,thriller,2016-07-15,100,5.0,English,Thrillers
Squared Love,romantic comedy,2021-02-11,102,5.0,Polish,Romance
Cadaver,horror,2020-10-22,86,5.1,Norwegian,Horror & Mystery
Clinical,thriller,2017-01-13,104,5.1,English,Thrillers
Coffee & Kareem,action comedy,2020-04-03,88,5.1,English,Action & Adventure
Dude,teen comedy drama,2018-04-20,97,5.1,English,Comedies
Geez & Ann,romantic drama,2021-02-25,105,5.1,Indonesian,Romance
The Larva Island Movie,anime,2020-07-23,90,5.1,English,Anime
#REALITYHIGH,comedy,2017-09-08,99,5.2,English,Comedies
American Factory: A Conversation with the Obamas ,bonus content,2019-08-21,10,5.2,English,Shorts
Desperados,romantic comedy,2020-07-03,106,5.2,English,Romance
Dolly Parton's Christmas on the Square,christmas musical,2020-11-22,98,5.2,English,Christmas
Father of the Year,comedy,2018-07-20,94,5.2,English,Comedies
Firebrand,drama,2019-02-22,112,5.2,Marathi,Dramas
Ghost Lab,horror,2021-05-26,117,5.2,Thai,Horror & Mystery
Girlfriend's Day,comedy,2017-02-14,70,5.2,English,Comedies
Handsome: A Netflix Mystery Movie,comedy,2017-05-05,81,5.2,English,Comedies
Hubie Halloween,comedy,2020-10-07,103,5.2,English,Comedies
Ibiza,comedy,2018-05-25,94,5.2,English,Comedies
Rim of the World,sci-fi adventure,2019-05-24,98,5.2,English,Sci-Fi
Sandy Wexler,comedy,2017-04-14,131,5.2,English,Comedies
See You Yesterday,sci-fi,2019-05-17,87,5.2,English,Sci-Fi
